Candidate Name,Email,Department Code,Clarity of questions,Usability of Test Interface,Usability of Code Editor,Fairness of skill assessment,Extra Comment
Ryne,Ryne1984@hotmail.com,F,4.0,4.0,4.0,4.0,
Tella,Tella1997@,G,5.0,5.0,5.0,5.0,
Mercy,Mercy1977@company.com,D,5.0,5.0,5.0,5.0,
Joycelyn,Joycelyn1983@company.in,B,4.0,4.0,4.0,4.0,
Jovanny,Jovanny1987@yahoo.com,C,5.0,5.0,5.0,5.0,
Audrey,Audrey1993@,A,4.0,5.0,5.0,5.0,
Aura,Aura1988@gmail.com,G,3.0,4.0,3.0,4.0,
Waverly,Waverly1998@,E,5.0,5.0,5.0,5.0,
Vergil,Vergil1979@hotmail.com,A,2.0,3.0,3.0,3.0,
Martine,Martine1974@gmail.com,D,5.0,5.0,5.0,5.0,"Good experience_x005F_x000D_
"
Junie,Junie1996@yahoo.com,C,5.0,5.0,5.0,5.0,
Annemarie,Annemarie1987@yahoo.com,G,4.0,5.0,5.0,5.0,no
Bena,Bena1975@company.in,E,4.0,1.0,1.0,4.0,
Lexis,Lexis1991@company.in,B,5.0,5.0,5.0,5.0,
Kenney,Kenney1977@,A,3.0,2.0,4.0,4.0,
Yael,Yael1981@company.com,G,1.0,5.0,5.0,3.0,
Janeen,Janeen1998@gmail.com,F,5.0,4.0,4.0,4.0,
Alijah,Alijah1996@gmail.com,D,5.0,5.0,5.0,5.0,
Dustin,Dustin1996@yahoo.com,E,4.0,5.0,4.0,4.0,
Marjorie,Marjorie1982@gmail.com,H,5.0,5.0,5.0,5.0,
Cora,Cora1970@gmail.com,E,5.0,4.0,3.0,4.0,
Charity,Charity1994@yahoo.com,A,4.0,3.0,5.0,3.0,
Eva,Eva1972@yahoo.com,E,3.0,2.0,,,
Evelin,Evelin1989@,E,3.0,4.0,4.0,5.0,
Olin,Olin1998@,D,5.0,5.0,5.0,5.0,
Colter,Colter1980@hotmail.com,D,3.0,3.0,3.0,3.0,
Yehuda,Yehuda1978@company.com,B,5.0,5.0,5.0,5.0,
Halle,Halle1992@company.in,H,4.0,4.0,4.0,4.0,
Amara,Amara1988@,G,4.0,4.0,4.0,2.0,
Judyth,Judyth1999@hotmail.com,D,4.0,4.0,4.0,4.0,
Emory,Emory1993@,H,1.0,4.0,4.0,2.0,
Mason,Mason1987@hotmail.com,C,2.0,5.0,5.0,5.0,
Tiarra,Tiarra1983@company.in,E,5.0,5.0,5.0,5.0,
Marshal,Marshal1978@gmail.com,B,5.0,5.0,5.0,5.0,
Hassie,Hassie1996@yahoo.com,H,5.0,5.0,5.0,5.0,
Arvo,Arvo1987@company.com,H,2.0,1.0,3.0,1.0,
Ebba,Ebba1985@company.in,B,5.0,5.0,5.0,5.0,
Serenity,Serenity1974@company.com,F,5.0,5.0,4.0,4.0,
Tripp,Tripp1972@company.com,B,1.0,1.0,1.0,1.0,
Cassidy,Cassidy1985@,D,4.0,5.0,4.0,4.0,
Gladstone,Gladstone1982@company.in,F,3.0,3.0,1.0,3.0,
Marnita,Marnita1976@yahoo.com,A,5.0,5.0,5.0,5.0,
Desi,Desi1974@company.in,A,4.0,4.0,4.0,4.0,
Thekla,Thekla1997@company.com,E,4.0,4.0,4.0,5.0,
Ewart,Ewart1986@,F,4.0,4.0,5.0,4.0,
Winnifred,Winnifred1999@company.in,D,5.0,5.0,5.0,5.0,
Alonzo,Alonzo1986@,G,5.0,5.0,5.0,5.0,
Dave,Dave1976@company.in,E,4.0,4.0,4.0,4.0,
Ferd,Ferd1988@company.com,G,3.0,4.0,4.0,4.0,
Leamon,Leamon1970@company.com,D,3.0,1.0,1.0,1.0,
Latesha,Latesha1992@gmail.com,H,1.0,1.0,1.0,1.0,
Wiliam,Wiliam1998@hotmail.com,B,3.0,4.0,4.0,3.0,
Kevon,Kevon1992@,A,1.0,2.0,4.0,2.0,
Debrah,Debrah1992@gmail.com,A,5.0,5.0,5.0,5.0,
Frankie,Frankie1984@yahoo.com,G,3.0,3.0,2.0,2.0,
Geraldine,Geraldine1987@company.in,F,5.0,5.0,5.0,5.0,
Consuelo,Consuelo1990@company.in,C,5.0,5.0,3.0,5.0,
Dyllan,Dyllan1975@gmail.com,D,3.0,3.0,3.0,3.0,
Damion,Damion1976@yahoo.com,G,5.0,5.0,4.0,3.0,
Andy,Andy1984@company.in,H,5.0,5.0,5.0,5.0,
Perry,Perry1996@gmail.com,C,3.0,3.0,3.0,,
Angus,Angus1976@yahoo.com,D,5.0,5.0,5.0,5.0,
Sheri,Sheri1978@gmail.com,B,5.0,5.0,5.0,5.0,
River,River1973@,C,4.0,3.0,5.0,5.0,
Octave,Octave1994@company.com,F,2.0,2.0,2.0,2.0,
Iza,Iza1974@yahoo.com,E,,3.0,,,
Raiden,Raiden1997@,D,5.0,5.0,5.0,5.0,
Napoleon,Napoleon1998@yahoo.com,B,3.0,4.0,4.0,4.0,
Tevin,Tevin1998@company.in,E,3.0,5.0,,5.0,
Garth,Garth1999@hotmail.com,A,4.0,3.0,4.0,5.0,
Cuba,Cuba1987@company.in,E,5.0,5.0,5.0,5.0,
Baylie,Baylie1989@company.com,H,5.0,5.0,5.0,5.0,
Tarsha,Tarsha1994@,B,4.0,4.0,4.0,4.0,
Karis,Karis1984@company.com,E,4.0,3.0,4.0,3.0,
Tab,Tab1980@company.com,C,4.0,1.0,1.0,2.0,
Hans,Hans1990@company.com,F,5.0,5.0,3.0,5.0,"Code Editor does not allow a proper full screen option. We can only use 40 % of the entire screen space, during the coding questions."
Hailey,Hailey1983@company.com,D,5.0,5.0,5.0,5.0,
Raleigh,Raleigh1973@gmail.com,A,3.0,4.0,5.0,5.0,
Hakeem,Hakeem1977@company.com,D,5.0,5.0,5.0,5.0,
Gustaf,Gustaf1988@,E,4.0,5.0,3.0,4.0,
Shanell,Shanell1987@company.com,F,5.0,3.0,5.0,4.0,
Dellar,Dellar1998@,G,5.0,5.0,5.0,5.0,
Margaretta,Margaretta1975@,A,5.0,4.0,4.0,4.0,
Christian,Christian1982@company.in,D,4.0,4.0,4.0,4.0,
Emogene,Emogene1972@gmail.com,H,5.0,5.0,5.0,5.0,
Julius,Julius1998@company.com,B,,,,4.0,
Zenas,Zenas1986@yahoo.com,F,3.0,4.0,4.0,4.0,
Alf,Alf1983@company.com,H,5.0,5.0,5.0,5.0,
Ozella,Ozella1986@yahoo.com,G,5.0,5.0,5.0,4.0,
Davie,Davie1985@,E,5.0,5.0,5.0,5.0,
Willard,Willard1991@yahoo.com,D,4.0,5.0,5.0,5.0,
Bill,Bill1989@yahoo.com,G,5.0,5.0,5.0,5.0,
Ever,Ever1983@gmail.com,H,1.0,1.0,2.0,2.0,please do clarify the constraints you are expecting it to be in the program and the debugging constraint too was very ambiguous.
Magan,Magan1994@hotmail.com,B,5.0,5.0,5.0,5.0,
Yoselin,Yoselin1979@gmail.com,F,4.0,4.0,4.0,4.0,
Carissa,Carissa1998@hotmail.com,C,4.0,4.0,4.0,4.0,
Kyree,Kyree1991@hotmail.com,E,5.0,5.0,5.0,5.0,
Latoyia,Latoyia1995@company.in,H,4.0,4.0,4.0,4.0,
Gregorio,Gregorio1972@hotmail.com,F,4.0,4.0,5.0,5.0,
Dale,Dale1983@company.in,C,5.0,5.0,5.0,5.0,
Diallo,Diallo1990@gmail.com,B,3.0,4.0,4.0,4.0,
Odessa,Odessa1988@,F,5.0,5.0,5.0,5.0,
Donny,Donny1986@hotmail.com,D,4.0,4.0,4.0,4.0,
Novella,Novella1994@hotmail.com,B,4.0,4.0,4.0,4.0,
Chana,Chana1998@company.in,F,4.0,4.0,4.0,4.0,
Lovie,Lovie1997@yahoo.com,F,2.0,3.0,4.0,4.0,
Austen,Austen1997@company.com,E,5.0,5.0,5.0,5.0,
Pauline,Pauline1977@company.in,H,5.0,5.0,5.0,5.0,
Mary,Mary1975@company.in,A,5.0,5.0,5.0,5.0,
Elvin,Elvin1977@company.com,G,4.0,4.0,4.0,4.0,
Harman,Harman1973@yahoo.com,F,1.0,,,,
Jacquelyn,Jacquelyn1986@hotmail.com,A,4.0,4.0,4.0,5.0,
Tiffanie,Tiffanie1978@hotmail.com,A,3.0,2.0,4.0,3.0,
Seneca,Seneca1977@company.com,F,5.0,4.0,3.0,4.0,
Rutherford,Rutherford1983@yahoo.com,A,5.0,,,,
Khadijah,Khadijah1982@hotmail.com,F,5.0,5.0,5.0,5.0,
Isaias,Isaias1990@gmail.com,B,4.0,4.0,4.0,4.0,
Misael,Misael1976@hotmail.com,D,4.0,,,,
Angela,Angela1999@gmail.com,D,4.0,4.0,4.0,4.0,
Izabelle,Izabelle1989@yahoo.com,G,5.0,5.0,5.0,5.0,
Johannah,Johannah1973@,C,5.0,5.0,5.0,5.0,
Jerrell,Jerrell1983@yahoo.com,F,3.0,5.0,5.0,2.0,
Juluis,Juluis1973@company.in,A,4.0,2.0,2.0,2.0,
Dedrick,Dedrick1971@company.com,B,1.0,1.0,1.0,1.0,
Daniella,Daniella1999@hotmail.com,D,5.0,5.0,4.0,3.0,
Elena,Elena1991@hotmail.com,D,3.0,5.0,5.0,3.0,
Eboni,Eboni1985@yahoo.com,A,4.0,4.0,4.0,4.0,
Launa,Launa1993@yahoo.com,F,,,,5.0,
Melodee,Melodee1989@gmail.com,G,5.0,5.0,5.0,5.0,
Leonard,Leonard1979@,B,3.0,4.0,4.0,3.0,
Colleen,Colleen1979@hotmail.com,A,4.0,4.0,4.0,4.0,
Lorri,Lorri1970@company.com,B,5.0,5.0,5.0,5.0,
Thekla,Thekla1985@gmail.com,B,5.0,5.0,5.0,5.0,
Colleen,Colleen1987@company.com,A,4.0,4.0,4.0,4.0,
Ike,Ike1976@gmail.com,C,5.0,5.0,5.0,5.0,
Alby,Alby1988@hotmail.com,E,4.0,4.0,4.0,4.0,
Joe,Joe1995@yahoo.com,B,3.0,3.0,3.0,3.0,
Grafton,Grafton1971@gmail.com,H,5.0,5.0,5.0,5.0,
Jessee,Jessee1994@yahoo.com,D,5.0,5.0,5.0,5.0,
Virgia,Virgia1997@,B,2.0,4.0,5.0,5.0,
Kimberly,Kimberly1978@yahoo.com,G,4.0,4.0,4.0,4.0,
Althea,Althea1991@company.com,D,5.0,5.0,5.0,5.0,
Jacklyn,Jacklyn1996@company.in,H,5.0,4.0,3.0,3.0,
Yajaira,Yajaira1976@gmail.com,A,5.0,5.0,5.0,5.0,
Pleas,Pleas1975@company.com,E,5.0,4.0,1.0,3.0,
Wenzel,Wenzel1980@hotmail.com,G,1.0,2.0,3.0,4.0,
Talmadge,Talmadge1993@hotmail.com,B,4.0,5.0,5.0,5.0,
Rosanna,Rosanna1971@yahoo.com,F,5.0,4.0,4.0,2.0,
Siobhan,Siobhan1978@company.in,F,5.0,5.0,5.0,5.0,
Arman,Arman1975@company.com,D,5.0,5.0,5.0,5.0,
Trisha,Trisha1985@company.in,G,5.0,5.0,5.0,5.0,
Hilmer,Hilmer1995@hotmail.com,H,5.0,5.0,5.0,5.0,
Leota,Leota1978@hotmail.com,F,5.0,2.0,2.0,5.0,
Ilona,Ilona1977@yahoo.com,G,4.0,4.0,4.0,4.0,
Monroe,Monroe1983@yahoo.com,A,1.0,2.0,1.0,1.0,
Hilliard,Hilliard1984@company.in,E,5.0,5.0,5.0,5.0,
Merlene,Merlene1995@company.in,B,5.0,5.0,5.0,5.0,
Antoinette,Antoinette1975@company.com,B,4.0,1.0,1.0,4.0,
Stoney,Stoney1992@company.in,A,2.0,3.0,2.0,4.0,
Stormy,Stormy1985@,E,4.0,4.0,4.0,4.0,
Shaina,Shaina1981@,D,4.0427807486631,4.03243243243243,4.0824175824175795,4.08695652173913,-
Easter,Easter1985@gmail.com,H,5.0,5.0,5.0,5.0,
Carson,Carson1979@yahoo.com,B,4.0,4.0,4.0,4.0,
Tessie,Tessie1980@hotmail.com,G,3.0,,,,
Stuart,Stuart1971@company.com,A,4.0,5.0,4.0,5.0,
Joyce,Joyce1997@yahoo.com,B,1.0,2.0,2.0,2.0,
Joette,Joette1986@gmail.com,C,5.0,5.0,5.0,5.0,
Aisha,Aisha1985@company.com,G,1.0,5.0,5.0,3.0,
Josef,Josef1998@company.com,G,5.0,5.0,5.0,4.0,
Giovani,Giovani1980@company.in,G,4.0,4.0,3.0,4.0,pk
Nathen,Nathen1974@company.com,G,5.0,5.0,5.0,5.0,
Luverne,Luverne1991@hotmail.com,C,,,2.0,,
Gurney,Gurney1991@company.in,F,4.0,4.0,4.0,3.0,
Mafalda,Mafalda1992@hotmail.com,A,1.0,2.0,2.0,2.0,
Zina,Zina1987@company.com,B,5.0,5.0,5.0,5.0,
Lugenia,Lugenia1993@company.com,G,5.0,5.0,5.0,5.0,
Tremaine,Tremaine1980@yahoo.com,H,5.0,5.0,1.0,5.0,
Davion,Davion1977@gmail.com,B,3.0,5.0,5.0,5.0,
Roel,Roel1981@hotmail.com,F,3.0,5.0,5.0,5.0,
Audriana,Audriana1974@company.com,E,3.0,3.0,3.0,4.0,
Carina,Carina1974@,D,3.0,2.0,5.0,2.0,
Devante,Devante1981@yahoo.com,F,4.0,4.0,4.0,4.0,
Jaheim,Jaheim1983@yahoo.com,C,4.0,3.0,3.0,4.0,
Renea,Renea1983@gmail.com,F,5.0,5.0,5.0,2.0,
Frances,Frances1978@company.com,E,1.0,4.0,4.0,1.0,
Stephaine,Stephaine1979@yahoo.com,B,4.0,4.0,4.0,4.0,
Caiden,Caiden1975@hotmail.com,A,3.0,5.0,4.0,2.0,
Adamaris,Adamaris1988@hotmail.com,E,3.0,3.0,3.0,3.0,"Please consider further review of the problem statements before the contest. The problem statements in the contest were clear enough. However, in the ""A quadratic equation"" problem, the problem statement was missing the requirement that the parameter B is integer. In the ""Right-angled triangle"" problem, the problem statement was missing the requirement that the other two sides of the triangle other than  X are integers. Finally, please consider upgrading the hardware infrastructure of the automatic judge system. I ran my solution for ""Right-angles triangles"" problem after the contest against the two test cases that the code did not pass the 2.5 second time-limit on another machine. The run time for my solution on the other machine was 1.8 sec and 2.1 sec."
Melville,Melville1991@yahoo.com,B,2.0,2.0,4.0,4.0,
Xzavier,Xzavier1988@gmail.com,G,5.0,5.0,5.0,5.0,
Codie,Codie1971@gmail.com,F,4.0,,,,
Jamison,Jamison1988@hotmail.com,G,3.0,3.0,4.0,3.0,
Dirk,Dirk1977@yahoo.com,B,5.0,5.0,5.0,5.0,
Kortney,Kortney1978@company.in,H,4.0,4.0,4.0,3.0,
Ricky,Ricky1974@,F,5.0,5.0,5.0,4.0,
Jolene,Jolene1977@yahoo.com,C,1.0,1.0,1.0,,
Zaria,Zaria1977@hotmail.com,A,1.0,5.0,5.0,5.0,
Mae,Mae1983@hotmail.com,A,3.0,4.0,2.0,1.0,
Korey,Korey1990@,D,5.0,4.0,4.0,5.0,
Raiden,Raiden1975@company.com,G,4.0,4.0,4.0,5.0,
Leamon,Leamon1986@gmail.com,G,5.0,5.0,5.0,5.0,
Donell,Donell1977@gmail.com,E,4.0,2.0,2.0,5.0,
Carina,Carina1986@yahoo.com,D,4.0,4.0,4.0,4.0,
Chaya,Chaya1994@,B,2.0,1.0,5.0,3.0,
Deloris,Deloris1982@hotmail.com,F,3.0,4.0,4.0,3.0,
Shantel,Shantel1976@yahoo.com,D,4.0,5.0,5.0,5.0,
Carolyne,Carolyne1988@yahoo.com,B,5.0,,,,
Sena,Sena1999@gmail.com,G,2.0,2.0,3.0,4.0,
Dolph,Dolph1970@company.com,A,4.0,5.0,4.0,5.0,
Jaylin,Jaylin1976@gmail.com,E,3.0,4.0,5.0,5.0,
Joi,Joi1984@hotmail.com,A,3.0,3.0,2.0,3.0,
Adelbert,Adelbert1986@gmail.com,H,5.0,5.0,5.0,5.0,
Lavada,Lavada1971@,A,4.0,4.0,4.0,4.0,
Dustin,Dustin1991@gmail.com,B,2.0,4.0,4.0,3.0,
Carla,Carla1996@company.in,D,5.0,3.0,5.0,4.0,
Nana,Nana1974@hotmail.com,D,3.0,4.0,4.0,,
Laurence,Laurence1997@hotmail.com,A,3.0,4.0,2.0,5.0,
Johnny,Johnny1980@hotmail.com,E,4.0,3.0,3.0,3.0,
Jase,Jase1999@hotmail.com,C,5.0,5.0,5.0,5.0,
Alphonse,Alphonse1994@gmail.com,F,5.0,5.0,5.0,5.0,
Leesa,Leesa1971@company.in,D,3.0,5.0,5.0,4.0,
Annemarie,Annemarie1972@company.com,H,2.0,5.0,5.0,5.0,
Joe,Joe1999@yahoo.com,F,4.0,4.0,5.0,4.0,
Carlisle,Carlisle1976@gmail.com,B,5.0,5.0,5.0,4.0,
Zeke,Zeke1977@company.in,G,4.0,5.0,3.0,4.0,
Matthew,Matthew1970@hotmail.com,B,5.0,4.0,4.0,4.0,
Jalynn,Jalynn1988@,H,4.0,5.0,5.0,5.0,
Beverlee,Beverlee1982@company.com,A,5.0,5.0,5.0,5.0,You Provide the best platform for competitive programming..
Julious,Julious1980@hotmail.com,A,5.0,5.0,5.0,5.0,Questions were not interesting!!
Carson,Carson1970@gmail.com,E,5.0,5.0,5.0,5.0,
Alyson,Alyson1972@company.com,F,1.0,1.0,1.0,1.0,
Charline,Charline1991@gmail.com,D,3.0,5.0,5.0,4.0,
Odette,Odette1996@gmail.com,F,4.0,5.0,5.0,3.0,
Lady,Lady1973@yahoo.com,D,4.0,2.0,4.0,4.0,
Laurie,Laurie1973@hotmail.com,D,4.0,3.0,4.0,3.0,
Alvia,Alvia1985@company.in,F,5.0,5.0,4.0,5.0,
Candida,Candida1997@yahoo.com,B,4.0,4.0,4.0,4.0,
Ridge,Ridge1993@hotmail.com,E,4.0,4.0,4.0,4.0,
Cain,Cain1990@hotmail.com,B,3.0,3.0,3.0,3.0,
Magdalena,Magdalena1993@hotmail.com,A,2.0,2.0,2.0,3.0,
Dakota,Dakota1993@hotmail.com,H,2.0,2.0,4.0,5.0,
Dwan,Dwan1985@gmail.com,H,5.0,5.0,5.0,5.0,
Gaylon,Gaylon1976@company.in,C,3.0,1.0,2.0,2.0,
Henretta,Henretta1986@hotmail.com,D,5.0,5.0,5.0,5.0,
Gianni,Gianni1973@,A,2.0,4.0,4.0,3.0,
Janie,Janie1978@gmail.com,D,4.0,4.0,5.0,5.0,
Hulda,Hulda1981@,E,4.0,5.0,5.0,4.0,
Kurt,Kurt1992@company.com,D,2.0,4.0,4.0,5.0,
Audrianna,Audrianna1990@gmail.com,E,3.0,3.0,3.0,3.0,
Estell,Estell1982@company.com,A,3.0,3.0,5.0,5.0,logs from submitting were not displayed properly even after clicking on the link
Joline,Joline1998@,C,5.0,5.0,5.0,5.0,
Iva,Iva1983@company.in,F,5.0,5.0,5.0,5.0,
Lizeth,Lizeth1980@hotmail.com,H,5.0,5.0,5.0,5.0,
Zollie,Zollie1992@company.com,D,4.0,4.0,,,
Justine,Justine1986@hotmail.com,G,2.0,4.0,4.0,4.0,In some problems some details were not stated too clearly ...
Berta,Berta1979@gmail.com,H,5.0,5.0,5.0,5.0,
Lillie,Lillie1976@company.com,B,5.0,4.0,4.0,4.0,
Addie,Addie1972@gmail.com,B,3.0,3.0,3.0,5.0,
Donte,Donte1998@company.in,E,5.0,5.0,5.0,5.0,
Heyward,Heyward1978@,A,4.0,3.0,3.0,4.0,
Savion,Savion1995@hotmail.com,G,4.0,4.0,5.0,4.0,"please tell the exact reason of error (for example run time error is not understandable)._x005F_x000D_
"
Lucretia,Lucretia1992@,G,4.0,4.0,4.0,4.0,
Rhea,Rhea1982@hotmail.com,H,3.0,5.0,5.0,5.0,
Hayes,Hayes1974@yahoo.com,D,4.0,3.0,1.0,5.0,"The code editor is quite unusable, when I scroll out of it, it starts scrolling, too. And the explanations for the problems could have been slightly clearer, in terms of explaining inversions and XORs, but it was pretty good apart from that."
Brandi,Brandi1977@company.com,G,3.0,3.0,4.0,4.0,
Francine,Francine1975@yahoo.com,G,3.0,3.0,5.0,4.0,
Levy,Levy1970@company.com,D,1.0,5.0,5.0,2.0,Question must be clear to the point.
Madelene,Madelene1993@company.com,E,2.0,3.0,2.0,3.0,
Dudley,Dudley1984@yahoo.com,B,3.0,5.0,5.0,5.0,
Samie,Samie1982@gmail.com,A,3.0,5.0,5.0,,
Arlington,Arlington1996@hotmail.com,B,5.0,5.0,5.0,5.0,
Zander,Zander1993@gmail.com,A,5.0,5.0,5.0,5.0,
Citlalli,Citlalli1986@hotmail.com,F,1.0,5.0,5.0,2.0,
General,General1988@yahoo.com,A,5.0,5.0,5.0,5.0,
Kacie,Kacie1990@company.com,A,4.0,4.0,,4.0,
Iridian,Iridian1985@hotmail.com,A,1.0,1.0,1.0,1.0,"poorly formed questions, incomplete information"
Savana,Savana1987@,B,5.0,5.0,5.0,5.0,
Orin,Orin1999@,D,4.0,4.0,3.0,4.0,"If two problems are related, we should be able to copy code from Problem 1's editor to Problem 2's Editor. Thank You."
Gerard,Gerard1971@gmail.com,G,1.0,1.0,1.0,1.0,
Harding,Harding1980@,E,5.0,3.0,2.0,3.0,
Griffith,Griffith1994@yahoo.com,A,1.0,4.0,3.0,,
Emit,Emit1998@company.com,C,5.0,5.0,5.0,5.0,
Adan,Adan1980@company.com,G,1.0,5.0,,3.0,
Glendon,Glendon1980@,G,5.0,2.0,3.0,4.0,
German,German1979@,F,5.0,5.0,5.0,5.0,
Dariana,Dariana1971@company.com,F,3.0,3.0,4.0,3.0,
Konner,Konner1992@hotmail.com,F,5.0,5.0,5.0,5.0,
Lulah,Lulah1986@company.in,B,3.0,2.0,1.0,1.0,"The Q3 was not mentioned with the order in which i must print the Set that was required in the output. _x005F_x000D_
When i was printing them in different they were being accepted and some of they were not. _x005F_x000D_
For that to check answer it must be like either you print any combination or you must spacify whether in what order you want to print us. _x005F_x000D_
_x005F_x000D_
_x005F_x000D_
Moreover when i chnaged the language my whole code got dissapeared which is worst thing in code editor._x005F_x000D_
"
Zula,Zula1993@company.com,H,5.0,5.0,5.0,5.0,
Athena,Athena1984@hotmail.com,D,5.0,5.0,5.0,5.0,
Mallorie,Mallorie1980@hotmail.com,B,5.0,3.0,1.0,5.0,
Berniece,Berniece1974@company.com,F,4.0,4.0,4.0,5.0,
Lawerence,Lawerence1991@gmail.com,B,3.0,3.0,2.0,1.0,
Theodora,Theodora1999@,F,4.0,5.0,5.0,5.0,
Barbie,Barbie1996@yahoo.com,C,2.0,4.0,4.0,3.0,"Constraint were missing in the questions , which should be added for better understanding about time complexity that we can use."
Tuan,Tuan1995@yahoo.com,F,1.0,3.0,3.0,3.0,
Liliana,Liliana1990@,E,5.0,5.0,5.0,5.0,
Janis,Janis1974@,A,3.0,3.0,4.0,4.0,
Lorena,Lorena1991@,H,2.0,5.0,5.0,3.0,
Morris,Morris1979@company.com,C,5.0,5.0,5.0,5.0,
Anne,Anne1994@hotmail.com,C,4.0,4.0,3.0,4.0,
Tiffany,Tiffany1985@yahoo.com,G,1.0,2.0,2.0,1.0,
Tresa,Tresa1983@yahoo.com,C,1.0,1.0,4.0,1.0,no explanation of the problem input processing etc. worst challenge ever
Marolyn,Marolyn1986@company.in,D,3.0,2.0,4.0,3.0,
Millie,Millie1983@company.com,C,3.0,5.0,3.0,4.0,
Jayvion,Jayvion1982@gmail.com,D,4.0,4.0,4.0,4.0,
Marnita,Marnita1970@,E,5.0,5.0,5.0,5.0,
Jesenia,Jesenia1981@yahoo.com,A,3.0,4.0,4.0,4.0,
Sophronia,Sophronia1996@hotmail.com,B,5.0,5.0,5.0,5.0,
Bria,Bria1997@,E,2.0,3.0,4.0,3.0,
Tabitha,Tabitha1994@yahoo.com,B,4.0,3.0,3.0,5.0,
Marland,Marland1973@hotmail.com,C,5.0,5.0,5.0,5.0,
Lawyer,Lawyer1971@gmail.com,F,4.0,4.0,4.0,4.0,
Rolanda,Rolanda1978@,D,5.0,5.0,5.0,5.0,
Henri,Henri1990@,A,4.0,4.0,4.0,4.0,
Dahlia,Dahlia1996@hotmail.com,A,5.0,5.0,5.0,5.0,
Jakobe,Jakobe1984@company.in,G,3.0,3.0,3.0,2.0,
Tarah,Tarah1987@yahoo.com,E,5.0,1.0,1.0,1.0,
Larue,Larue1990@hotmail.com,F,3.0,3.0,3.0,3.0,
Earl,Earl1991@company.in,F,5.0,5.0,5.0,5.0,
Tremaine,Tremaine1970@hotmail.com,C,2.0,3.0,3.0,3.0,
Nobie,Nobie1999@gmail.com,E,1.0,4.0,4.0,1.0,
Johnie,Johnie1970@hotmail.com,H,3.0,4.0,3.0,5.0,
Lindsay,Lindsay1982@company.in,E,4.0,4.0,4.0,4.0,
Zaniyah,Zaniyah1996@company.com,D,3.0,3.0,4.0,4.0,
Tamya,Tamya1970@company.in,E,5.0,5.0,5.0,,awesome
Kylee,Kylee1981@hotmail.com,B,5.0,4.0,2.0,4.0,
Cherie,Cherie1989@company.com,F,4.0,4.0,4.0,4.0,
Jacquelin,Jacquelin1971@company.com,D,4.0,4.0,4.0,4.0,
Lesa,Lesa1991@company.com,G,5.0,5.0,5.0,5.0,
Darci,Darci1972@yahoo.com,A,4.0,4.0,4.0,4.0,
Josiah,Josiah1978@company.com,C,4.0,4.0,4.0,4.0,
Icie,Icie1992@yahoo.com,C,2.0,4.0,4.0,4.0,No constraints were provided
Reginal,Reginal1975@,G,1.0,2.0,1.0,1.0,
Ione,Ione1988@gmail.com,D,5.0,5.0,5.0,5.0,
Davie,Davie1994@gmail.com,G,1.0,1.0,1.0,1.0,
